-54,58
-26,38
-34,14
-48,40
-54,58
-28,28
-44,12
-62,98
-60,60
-52,36
-44,12
-32,24
-46,50
-52,36
-84,148
-66,110
-54,58
-52,52
-40,16
-60,92
-60,60
-42,38
-44,12
-28,-20
-54,58
-52,36
-64,104
-58,102
-48,56
-8,-16
-38,10
-66,110
-60,60
-10,-26
-32,24
-22,-22
-54,58
-42,22
-58,70
-22,-22
-54,58
-30,18
-48,72
-16,-24
-46,50
-42,38
-38,58
-4,-28
-60,60
10,-38
-26,54
-52,52
-42,54
-46,34
-40,16
-38,10
-60,60
-8,-32
-38,10
-28,-4
-54,58
-42,38
-34,30
-28,-20
-60,60
-48,40
-38,10
-28,-20
-54,58
-42,38
-42,22
-42,38
-54,58
-52,36
-44,12
-48,40
-54,58
-36,36
-84,148
-48,40
-54,58
-52,36
-38,10
-30,18
-60,60
-46,34
-44,12
-4,-28
-54,58
-48,40
-52,68
-34,-18
-50,62
-30,2
-42,22
-66,110
-42,54
-32,24
-42,22
-32,8
-60,60
-14,-30
-34,14
-46,50
-36,52
-42,38
-56,80
2,-30
-60,60
-52,36
-44,12
-34,-18
-60,60
-46,34
-32,8
-46,50
-54,58
-46,34
-52,68
-42,38
