algorithm,n_rounds,opponent_type,reward_sum,agent_final_reward
DQN,60.csv,cooppunish,0.0,120.0
DQN,60.csv,cooppunish,0.0,120.0
DQN,60.csv,cooppunish,0.0,120.0
DQN,60.csv,cooppunish,0.0,120.0
DQN,60.csv,cooppunish,0.0,120.0
QAlegAATr,40.csv,cooppunish,144.0,16.0
QAlegAATr,40.csv,cooppunish,144.0,16.0
QAlegAATr,40.csv,cooppunish,144.0,16.0
QAlegAATr,40.csv,cooppunish,144.0,16.0
QAlegAATr,40.csv,cooppunish,144.0,16.0
QAlegAATr,40.csv,bullied,80.0,200.0
QAlegAATr,40.csv,bullied,80.0,200.0
QAlegAATr,40.csv,bullied,80.0,200.0
QAlegAATr,40.csv,bullied,80.0,200.0
QAlegAATr,40.csv,bullied,80.0,200.0
DQN,60.csv,greedyneg,116.0,294.0
DQN,60.csv,greedyneg,116.0,294.0
DQN,60.csv,greedyneg,116.0,294.0
DQN,60.csv,greedyneg,116.0,294.0
DQN,60.csv,greedyneg,116.0,294.0
RDQN,60.csv,bullypunish,-120.0,-60.0
RDQN,60.csv,bullypunish,-120.0,-60.0
RDQN,60.csv,bullypunish,-120.0,-60.0
RDQN,60.csv,bullypunish,-120.0,-60.0
RDQN,60.csv,bullypunish,-120.0,-60.0
DQN,50.csv,minimax,-100.0,-50.0
DQN,50.csv,minimax,-100.0,-50.0
DQN,50.csv,minimax,-100.0,-50.0
DQN,50.csv,minimax,-100.0,-50.0
DQN,50.csv,minimax,-100.0,-50.0
AleqgAATr,20.csv,random,40.0,12.0
AleqgAATr,20.csv,random,52.0,38.0
AleqgAATr,20.csv,random,32.0,8.0
AleqgAATr,20.csv,random,36.0,14.0
AleqgAATr,20.csv,random,44.0,18.0
RAlegAATr,30.csv,eee,-4.0,54.0
RAlegAATr,30.csv,eee,4.0,66.0
RAlegAATr,30.csv,eee,-20.0,30.0
RAlegAATr,30.csv,eee,-16.0,36.0
RAlegAATr,30.csv,eee,-12.0,42.0
DQN,60.csv,eee,-16.0,96.0
DQN,60.csv,eee,8.0,132.0
DQN,60.csv,eee,-20.0,90.0
DQN,60.csv,eee,-36.0,66.0
DQN,60.csv,eee,40.0,180.0
RawO,40.csv,eee,-4.0,26.0
RawO,40.csv,eee,0.0,48.0
RawO,40.csv,eee,44.0,26.0
RawO,40.csv,eee,16.0,56.0
RawO,40.csv,eee,16.0,56.0
AleqgAATr,50.csv,minimax,0.0,-100.0
AleqgAATr,50.csv,minimax,0.0,-100.0
AleqgAATr,50.csv,minimax,0.0,-100.0
AleqgAATr,50.csv,minimax,0.0,-100.0
AleqgAATr,50.csv,minimax,0.0,-100.0
SMAlegAATr,60.csv,bbl,28.0,-126.0
