round,generator
0,2
1,5
2,4
3,1
4,0
5,4
6,3
7,1
8,2
9,4
10,0
11,5
12,1
13,3
14,1
15,5
16,2
17,0
18,0
19,4
20,2
21,5
22,3
23,0
24,4
25,1
26,2
27,0
28,3
29,1
