round,generator
0,0
1,3
2,3
3,1
4,5
5,2
6,3
7,5
8,1
9,5
10,5
11,0
12,3
13,2
14,3
15,3
16,5
17,4
18,0
19,0
20,0
21,5
22,1
23,3
24,0
25,3
26,4
27,3
28,0
29,5
30,2
31,3
32,2
33,3
34,3
35,1
36,2
37,0
38,0
39,1
40,2
41,5
42,5
43,0
44,5
45,2
46,1
47,3
48,1
49,4
50,2
51,2
52,5
53,2
54,1
55,1
56,3
57,1
58,2
59,5
