round,generator
0,3
1,3
2,3
3,1
4,4
5,0
6,2
7,1
8,5
9,0
10,5
11,3
12,5
13,1
14,2
15,0
16,2
17,2
18,5
19,5
20,5
21,3
22,3
23,1
24,0
25,3
26,4
27,1
28,4
29,5
