round,generator
0,2
1,2
2,1
3,1
4,2
5,1
6,3
7,3
8,2
9,3
10,3
11,4
12,2
13,2
14,0
15,2
16,2
17,4
18,4
19,3
20,1
21,3
22,4
23,2
24,2
25,5
26,5
27,3
28,3
29,4
30,5
31,0
32,2
33,1
34,1
35,4
36,3
37,3
38,5
39,3
40,2
41,3
42,0
43,2
44,2
45,4
46,3
47,1
48,4
49,4
50,3
51,3
52,0
53,2
54,2
55,1
56,2
57,2
58,2
59,2
