round,generator
0,0
1,4
2,3
3,0
4,0
5,2
6,3
7,2
8,4
9,3
10,3
11,3
12,4
13,3
14,5
15,3
16,5
17,3
18,5
19,3
20,5
21,3
22,4
23,5
24,2
25,2
26,2
27,2
28,2
29,2
