round,generator
0,1
1,4
2,3
3,4
4,2
5,4
6,1
7,0
8,1
9,4
10,4
11,3
12,2
13,2
14,2
15,1
16,3
17,3
18,3
19,4
20,1
21,4
22,4
23,1
24,3
25,2
26,5
27,3
28,1
29,5
30,3
31,3
32,0
33,5
34,2
35,5
36,3
37,3
38,3
39,4
