round,generator
0,1
1,2
2,4
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,3
16,3
17,3
18,1
19,3
20,3
21,3
22,5
23,5
24,5
25,5
26,3
27,3
28,3
29,5
30,1
31,3
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
